job_title,company_name,skills,location,job_type,date_posted,job_url
site reliability engineer,wormhole foundation,"security, support, operational, reliability, engineer",remote,nan,2025-12-24 19:00:25+00:00,https://remoteOK.com/remote-jobs/remote-site-reliability-engineer-wormhole-foundation-1129335
product manager wallet sdks,startale,manager,remote,nan,2025-12-24 19:00:06+00:00,https://remoteOK.com/remote-jobs/remote-product-manager-wallet-sdks-startale-1129334
growth marketing manager,infstones,"growth, manager, web3, node, mobile, management, marketing, analytics, sales, full-time",texas,nan,2025-12-24 14:00:02+00:00,https://remoteOK.com/remote-jobs/remote-growth-marketing-manager-infstones-1129333
senior data engineer,nansen.ai,"crypto, software, senior, operational, analytics, engineer, engineering","remote emea, remote asia",nan,2025-12-24 09:00:49+00:00,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-nansen-ai-1129332
social media manager,givedirectly,"manager, software, financial, management, operations",nairobi,nan,2025-12-24 09:00:19+00:00,https://remoteOK.com/remote-jobs/remote-social-media-manager-givedirectly-1129331
senior full stack engineer,teleport,"design, security, recruiter, support, code, voice, education, investment, typescript, senior, go, health, engineer, engineering, digital nomad",united states,nan,2025-12-24 08:00:04+00:00,https://remoteOK.com/remote-jobs/remote-senior-full-stack-engineer-teleport-1129330
project director campus action planning,campus compact,"director, students, technical, support, growth, education, investment, senior",remote - anywhere in the u.s.,nan,2025-12-24 00:00:48+00:00,https://remoteOK.com/remote-jobs/remote-project-director-campus-action-planning-campus-compact-1129329
member support specialist,disqo,"support, test, growth, lead, health",yerevan,nan,2025-12-24 00:00:24+00:00,https://remoteOK.com/remote-jobs/remote-member-support-specialist-disqo-1129328
product manager geckoterminal,coingecko,"manager, design, crypto, cryptocurrency, support, software, test, growth, voice, financial, education, leader, marketing, digital nomad",malaysia,nan,2025-12-23 14:00:38+00:00,https://remoteOK.com/remote-jobs/remote-product-manager-geckoterminal-coingecko-1129326
senior analytics engineer,alpaca,"crypto, technical, support, financial, investment, finance, c, api, senior, operations, operational, marketing, analytics, engineer, executive",remote - north america,nan,2025-12-23 14:00:31+00:00,https://remoteOK.com/remote-jobs/remote-senior-analytics-engineer-alpaca-1129325
growth marketer,bitmex,"growth, crypto, cryptocurrency, security, marketer",remote - europe,nan,2025-12-23 13:00:19+00:00,https://remoteOK.com/remote-jobs/remote-growth-marketer-bitmex-1129324
bim modeler,sanctuary,"design, system, 3d, consultant, consulting, technical, support, test, management, lead, engineering, digital nomad",new delhi,nan,2025-12-23 08:00:17+00:00,https://remoteOK.com/remote-jobs/remote-bim-modeler-sanctuary-1129323
commercial pilots ai trainer,handshake,"trainer, system, students, test, content, operational, recruiting",san francisco,nan,2025-12-23 08:00:11+00:00,https://remoteOK.com/remote-jobs/remote-commercial-pilots-ai-trainer-handshake-1129322
senior director global support,elite technology,"director, saas, embedded, system, support, financial, cloud, leader, management, senior, operations, operational, executive",us - remote,nan,2025-12-23 00:03:10+00:00,https://remoteOK.com/remote-jobs/remote-senior-director-global-support-elite-technology-1129321
medical affairs writer contract,kyverna therapeutics,"writer, management, lead, content",remote,nan,2025-12-23 00:02:52+00:00,https://remoteOK.com/remote-jobs/remote-medical-affairs-writer-contract-kyverna-therapeutics-1129320
executive director patient advocacy,kyverna therapeutics,"director, support, education, investor, strategy, lead, senior, recruitment, educational, executive",remote,nan,2025-12-23 00:02:45+00:00,https://remoteOK.com/remote-jobs/remote-executive-director-patient-advocacy-kyverna-therapeutics-1129319
manager commercial sales,cribl,"manager, security, technical, strategy, lead, operations, excel, sales",remote - united states,nan,2025-12-23 00:02:38+00:00,https://remoteOK.com/remote-jobs/remote-manager-commercial-sales-cribl-1129318
sec reporting manager,highlevel,"manager, technical, support, accounting, financial, education, investor, api, management, marketing, legal, sales",united states,nan,2025-12-23 00:02:14+00:00,https://remoteOK.com/remote-jobs/remote-sec-reporting-manager-highlevel-1129317
